docType,title,id,url,authority,programOwner,shortDesc,desc,policyFramework,category,region,topic,service,commodity,clientType,programStatus,createdDate,modifiedDate,publishedDate,desc_new
program,AgriInvest,AAFC-030-en,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriinvest,Federal,AAFC,AgriInvest is a self-managed producer-government savings account designed to help you manage small income declines and make investments to manage risk and improve market income.,"Each year, you can make a deposit into your AgriInvest account and receive a matching contribution from federal, provincial and territorial governments. You can withdraw the funds at any time for risk mitigation or other investments. Deposits are based on 1% of your Allowable Net Sales (i.e., commodities that qualify for the program).",NotApplicable,Program,AcrossCanada,FinancingCreditIncomeStability,FinancialSupportIncentives,ProcessedFoodsAgriBasedProducts,AgribusinessesFoodProcessors,open,2012-01-27,2021-10-08,2021-10-08,"Each year, you can make a deposit into your AgriInvest account and receive a matching contribution from federal, provincial and territorial governments. You can withdraw the funds at any time for risk mitigation or other investments. Deposits are based on 1% of your Allowable Net Sales (i.e., commodities that qualify for the program)."
program,AgriRecovery,AAFC-031-en,https://agriculture.canada.ca/en/agricultural-programs-and-services/agrirecovery,Federal,AAFC,AgriRecovery is an FPT disaster relief framework intended to work together with the core BRM programs to help agricultural producers recover from natural disasters.,"AgriRecovery is a national framework which guides federal and provincial governments in jointly assessing and, where there is need, responding to natural disasters (e.g., disease, pests, weather events) with quick, targeted financial assistance. The AgriRecovery process is typically initiated by a request from a province(s)/territory(ies) for a joint assessment of a disaster situation affecting producers in their province(s)/territory(ies). Where it is determined there is need beyond the assistance available through existing programs, initiatives may be developed under the Framework with the aim of helping affected producers with the costs of resuming business operations and/or taking actions to mitigate the impacts of a disaster as quickly as possible.
          Initiatives developed under the AgriRecovery Framework are normally administered by the province(s)/territory(ies) or their delivery agents. Participating provinces and territories cost-share these initiatives on a 60:40 federal-provincial/territorial basis. The AgriRecovery Framework is part of the FPT Business Risk Management suite of programs, which includes AgriInsurance, AgriStability, AgriInvest, and the Advance Payments Program.",CanadianAgriculturalPartnership,Program,AcrossCanada,InsuranceRecoveryAid,InsuranceRecoveryAid,Nonspecific,NonprofitCommunityOrganizations,open,2012-01-27,2021-10-08,2021-10-08,"AgriRecovery is a national framework which guides federal and provincial governments in jointly assessing and, where there is need, responding to natural disasters (e.g., disease, pests, weather events) with quick, targeted financial assistance. The AgriRecovery process is typically initiated by a request from a province(s)/territory(ies) for a joint assessment of a disaster situation affecting producers in their province(s)/territory(ies). Where it is determined there is need beyond the assistance available through existing programs, initiatives may be developed under the Framework with the aim of helping affected producers with the costs of resuming business operations and/or taking actions to mitigate the impacts of a disaster as quickly as possible.
          Initiatives developed under the AgriRecovery Framework are normally administered by the province(s)/territory(ies) or their delivery agents. Participating provinces and territories cost-share these initiatives on a 60:40 federal-provincial/territorial basis. The AgriRecovery Framework is part of the FPT Business Risk Management suite of programs, which includes AgriInsurance, AgriStability, AgriInvest, and the Advance Payments Program."
program,AgriStability,AAFC-032-en,https://agriculture.canada.ca/en/agricultural-programs-and-services/agristability,Federal,AAFC,"AgriStability protects Canadian producers against large declines in farming income for reasons such as production loss, increased costs and market conditions.","AgriStability payments are triggered when your current year Program Margin declines more than 30% below your Reference Margin.
         The Program Margin is your allowable income minus your allowable expenses in a given year, with adjustments for changes in receivables, payables and inventory.
         The Reference Margin is your average program margin for the previous five years, with the highest and lowest margins dropped.",CanadianAgriculturalPartnership,Program,AcrossCanada,FinancingCreditIncomeStability,FinancialSupportIncentives,PoultryEggs,WomenWomensOrganizations,open,2012-01-27,2021-10-08,2021-10-08,"AgriStability payments are triggered when your current year Program Margin declines more than 30% below your Reference Margin.
         The Program Margin is your allowable income minus your allowable expenses in a given year, with adjustments for changes in receivables, payables and inventory.
         The Reference Margin is your average program margin for the previous five years, with the highest and lowest margins dropped."
program,Price Pooling Program (PPP),AAFC-033-en,https://agriculture.canada.ca/en/agricultural-programs-and-services/price-pooling-program,Federal,AAFC,The Price Pooling Program provides a price guarantee that protects marketing agencies and producers against unanticipated declines in the market price of their products. ,"The Price Pooling Program provides a price guarantee that protects marketing agencies and producers against unanticipated declines in the market price of their products. Program participants use the price guarantee as security in obtaining credit from lending institutions. This credit allows the marketing agency to improve cash flow of producers through an initial payment for products delivered. It also provides equal returns to producers for products of like grades, varieties and types.
         This program is designed to assist and encourage cooperative marketing of eligible agricultural products, including processed products.",NotApplicable,Program,AcrossCanada,FinancingCreditIncomeStability,FinancialSupportIncentives,Nonspecific,AgribusinessesFoodProcessors,open,2012-01-27,2021-10-08,2021-10-08,"The Price Pooling Program provides a price guarantee that protects marketing agencies and producers against unanticipated declines in the market price of their products. Program participants use the price guarantee as security in obtaining credit from lending institutions. This credit allows the marketing agency to improve cash flow of producers through an initial payment for products delivered. It also provides equal returns to producers for products of like grades, varieties and types.
         This program is designed to assist and encourage cooperative marketing of eligible agricultural products, including processed products."
program,Single Window Contact for Agri-Food Trade Services,AAFC-035-en,https://agriculture.canada.ca/en/international-trade/single-window-contact-agri-food-trade-services,Federal,AAFC,Get in touch with us via email for export-related information and support. This service offers a single point of contact with the goal of helping the Canadian food industry and businesses reach international markets.,None,NotApplicable,ImportExport,AcrossCanada,PromotionalEventsSupport,PromotionalEventsSupport,Nonspecific,IndustryAssociationsFarmingOrganizations,open,2012-01-27,2021-10-08,2021-10-08,Get in touch with us via email for export-related information and support. This service offers a single point of contact with the goal of helping the Canadian food industry and businesses reach international markets.
program,Geospatial Products from Agriculture and Agri-Food Canada,AAFC-036-en,https://agriculture.canada.ca/en/agricultural-programs-and-services/geospatial-products,Federal,AAFC,"Get interactive agriculture-related maps, geospatial data and tools to help you make better decisions for environmentally responsible yet competitive agriculture.","Geospatial products will be of interest to a range of users, including:
         
            Producers, scientists or professionals looking to inform or make decisions related to agriculture. 
            Anyone who is looking for maps, data or tools to obtain a better understanding the geography of agriculture.
            interactive maps and tools
            printable maps 
            downloadable data 
            geospatial web services
            View maps showing climate conditions, land patterns, soil landscapes, or imagery of agricultural fields 
            Use general tools to calculate distances, measure areas, create buffers, and print maps 
            Use application-specific tools to calculate fencing costs, or to determine the available biomass within a specific area 
            Download data files in standard geospatial formats to use in GIS or other software
            Access geospatial data as web services to use in existing software or to develop new applications
         
         For themes related to land, water, soil, climate, and biodiversity, you can find:
          Some examples of what you can do:",NotApplicable,Service,AcrossCanada,DataMapsTools,GeospatialClimateDataMapsTools,Nonspecific,GeneralPublic,open,2012-01-27,2021-10-08,2021-10-08,"Geospatial products will be of interest to a range of users, including:
         
            Producers, scientists or professionals looking to inform or make decisions related to agriculture. 
            Anyone who is looking for maps, data or tools to obtain a better understanding the geography of agriculture.
            interactive maps and tools
            printable maps 
            downloadable data 
            geospatial web services
            View maps showing climate conditions, land patterns, soil landscapes, or imagery of agricultural fields 
            Use general tools to calculate distances, measure areas, create buffers, and print maps 
            Use application-specific tools to calculate fencing costs, or to determine the available biomass within a specific area 
            Download data files in standard geospatial formats to use in GIS or other software
            Access geospatial data as web services to use in existing software or to develop new applications
         
         For themes related to land, water, soil, climate, and biodiversity, you can find:
          Some examples of what you can do:"
program,Biomass Inventory Mapping and Analysis Tool,AAFC-055-en,http://www.agr.gc.ca/atlas/bimat,Federal,AAFC,"Provides mapping and decision-making tools in order to broaden our knowledge about the availability of Canadian herbaceous and woody opportunity biomass, as well as the spatial variability of this resource across the country.","The Biomass Inventory Mapping and Analysis Tool (BIMAT) provides Internet-based GIS functionality to query and visualize biomass inventory data. It was developed to broaden our knowledge about the availability of Canadian herbaceous and woody opportunity biomass, as well as the spatial variability of this resource across the country. Users of the application will be able to make well-informed decisions based on spatially-explicit information that presents a comprehensive view of biomass quantity and opportunity in Canada. Biomass supply and location information is made available through a collection of thematic maps and interactive queries of the herbaceous and woody biomass databases.",NotApplicable,Service,AcrossCanada,DataMapsTools,GeospatialClimateDataMapsTools,Nonspecific,Governments,open,2012-01-27,2021-10-08,2021-10-08,"The Biomass Inventory Mapping and Analysis Tool (BIMAT) provides Internet-based GIS functionality to query and visualize biomass inventory data. It was developed to broaden our knowledge about the availability of Canadian herbaceous and woody opportunity biomass, as well as the spatial variability of this resource across the country. Users of the application will be able to make well-informed decisions based on spatially-explicit information that presents a comprehensive view of biomass quantity and opportunity in Canada. Biomass supply and location information is made available through a collection of thematic maps and interactive queries of the herbaceous and woody biomass databases."
program,Drought Watch,AAFC-060-en,https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate,Federal,AAFC,Provides timely information to the agricultural sector in order to identify the impacts of climatic variability on water supply and agriculture.,"The impact of climatic variability on the environment is of great importance to the agricultural sector in Canada. Monitoring the impacts on water supplies, soil degradation and agricultural production is essential to the preparedness of the region in dealing with possible drought conditions. Drought Watch provides timely information of the impacts of climatic variability on water supply and agriculture.",NotApplicable,Service,AcrossCanada,DataMapsTools,GeospatialClimateDataMapsTools,Nonspecific,Governments,open,2012-01-27,2021-10-08,2021-10-08,"The impact of climatic variability on the environment is of great importance to the agricultural sector in Canada. Monitoring the impacts on water supplies, soil degradation and agricultural production is essential to the preparedness of the region in dealing with possible drought conditions. Drought Watch provides timely information of the impacts of climatic variability on water supply and agriculture."
program,Canada-Saskatchewan Irrigation Diversification Centre,AAFC-062-en,https://agriculture.canada.ca/en/about-our-department/offices-and-locations/canada-saskatchewan-irrigation-diversification-centre,Federal,AAFC,The Canada-Saskatchewan Irrigation Diversification Centre (CSIDC) promotes economically and environmentally sustainable irrigation practices to producers and industry.,"CSIDC operates as a federal/provincial/university/industry partnership dedicated to sustainable irrigation practice. The Centre conducts, funds and facilitates applied research, demonstration and technology transfer in support of this goal.",NotApplicable,Research,Saskatchewan,GeographyOptimizingLandUse,ResearchResults,GrainsCerealsOtherCrops,IndustryAssociationsFarmingOrganizations,open,2012-01-27,2021-10-08,2021-10-08,"CSIDC operates as a federal/provincial/university/industry partnership dedicated to sustainable irrigation practice. The Centre conducts, funds and facilitates applied research, demonstration and technology transfer in support of this goal."
program,Community Information Database (CID),AAFC-064-en,http://www.cid-bdc.ca/#c=home,Federal,AAFC,"A free internet-based mapping and data tool which provides the agriculture sector, rural communities, researchers, and governments with access to economic, social, and demographic data for all communities and regions across Canada to assist with evidence-based decision-making.","The Community Information Database (CID) is a free internet-based tool which provides the agriculture sector, rural communities, researchers, and governments with access to over 900 economic, social, and demographic indicators, including agriculture, population, employment, income and co-operatives, for all communities and regions across Canada. Indicators can be displayed in the form of maps, tables and charts. Community Profiles with ready made graphs and tables are available for all rural communities across Canada. The CID's unique data visualization features can be used to inform local, regional, provincial/territorial and federal planning, decision-making, and policy and program development. The CID is provided by Agriculture and Agri-Food Canada in collaboration with federal, provincial and territorial governments, community groups and associations.",NotApplicable,Service,AcrossCanada,DataMapsTools,GeospatialClimateDataMapsTools,Nonspecific,StudentsResearchers,open,2012-01-27,2021-10-08,2021-10-08,"The Community Information Database (CID) is a free internet-based tool which provides the agriculture sector, rural communities, researchers, and governments with access to over 900 economic, social, and demographic indicators, including agriculture, population, employment, income and co-operatives, for all communities and regions across Canada. Indicators can be displayed in the form of maps, tables and charts. Community Profiles with ready made graphs and tables are available for all rural communities across Canada. The CID's unique data visualization features can be used to inform local, regional, provincial/territorial and federal planning, decision-making, and policy and program development. The CID is provided by Agriculture and Agri-Food Canada in collaboration with federal, provincial and territorial governments, community groups and associations."
program,Canada Brand,AAFC-066-en,https://marquecanadabrand.agr.gc.ca/intro/index-eng.htm,Federal,AAFC,"Canada Brand members have access to a suite of tools, free of charge, including specialized graphics in multiple formats and languages, professional Canadian photography, and market research reports.","The Canada Brand is an initiative designed to give the Canadian food and agriculture industry a competitive advantage, internationally and at home, through a research-based common strategy and set of tools. The objective is to help industry differentiate Canadian food products from the competition, raise the profile of Canadian products, and support the sector in increasing sales.
         The strategy, including all the tools created and research conducted, was developed in collaboration with industry and the provincial governments.",NotApplicable,ImportExport,AcrossCanada,PromotionalEventsSupport,PromotionalEventsSupport,Nonspecific,FishingAquacultureIndustries,open,2012-01-27,2021-10-08,2021-10-08,"The Canada Brand is an initiative designed to give the Canadian food and agriculture industry a competitive advantage, internationally and at home, through a research-based common strategy and set of tools. The objective is to help industry differentiate Canadian food products from the competition, raise the profile of Canadian products, and support the sector in increasing sales.
         The strategy, including all the tools created and research conducted, was developed in collaboration with industry and the provincial governments."
program,International Agri-Food Market Intelligence,AAFC-070-en,https://agriculture.canada.ca/en/international-trade/market-intelligence,Federal,AAFC,"Provides market intelligence reports and trade data to the agriculture, agri-food and seafood industries to increase the Canadian sector's competitiveness in global markets.","We offer free international market intelligence services for Canadian agriculture and agri-food businesses, including:
         
            Identifying new and existing market, sector and product trends and opportunities abroad
            Providing economic, business and consumer trends forecasts
            Analyzing distribution channels, including international e-commerce platforms
            Customized analysis that meets your organization's unique needs
         ",NotApplicable,Marketing,AcrossCanada,DataMapsTools,EconomicDataInformation,Nonspecific,IndustryAssociationsFarmingOrganizations,open,2012-01-27,2021-10-08,2021-10-08,"We offer free international market intelligence services for Canadian agriculture and agri-food businesses, including:
         
            Identifying new and existing market, sector and product trends and opportunities abroad
            Providing economic, business and consumer trends forecasts
            Analyzing distribution channels, including international e-commerce platforms
            Customized analysis that meets your organization's unique needs
         "
program,Minor Use Pesticides Program,AAFC-071-en,https://agriculture.canada.ca/en/scientific-collaboration-and-research-agriculture/agriculture-and-agri-food-research-centres-and-collections/pest-management-centre/minor-use-pesticides-pest-management-centre,Federal,AAFC,"Provides benefits to Canadian producers by contributing to a competitive, innovative and resilient agriculture and agri-food sector through increased awareness and access to new minor uses of pesticides.","The Minor Use Pesticides Program works with producers, the provinces, Health Canada's Pest Management Regulatory Agency, pesticide, manufacturers and the U.S. IR-4 Project to establish producer-selected crop/pest needs, and match them with potential solutions, particularly reduced risk products. As the front-line guardians against pest issues, producers know from experience the types of persistent and emerging pest problems that can have serious effects on their operations. It is for that reason that producers select priorities at an annual priority-setting workshop.
          The Minor Use Pesticides Program will provide benefits to Canadian producers, the environment, and consumers by focussing on:
         
            Improving producer access to new minor uses of pesticides, with emphasis on reduced-risk products; and
            Providing Canadian producers with access to new pest-management technologies to improve their competitiveness domestically and internationally.
         ",NotApplicable,Service,UnitedStates,RegulationsEnforcement,RegulationsEnforcement,FertilizersPesticides,IndustryAssociationsFarmingOrganizations,open,2012-01-27,2021-10-08,2021-10-08,"The Minor Use Pesticides Program works with producers, the provinces, Health Canada's Pest Management Regulatory Agency, pesticide, manufacturers and the U.S. IR-4 Project to establish producer-selected crop/pest needs, and match them with potential solutions, particularly reduced risk products. As the front-line guardians against pest issues, producers know from experience the types of persistent and emerging pest problems that can have serious effects on their operations. It is for that reason that producers select priorities at an annual priority-setting workshop.
          The Minor Use Pesticides Program will provide benefits to Canadian producers, the environment, and consumers by focussing on:
         
            Improving producer access to new minor uses of pesticides, with emphasis on reduced-risk products; and
            Providing Canadian producers with access to new pest-management technologies to improve their competitiveness domestically and internationally.
         "
program,Office of Intellectual Property and Commercialization,AAFC-074-en,https://agriculture.canada.ca/en/scientific-collaboration-and-research-agriculture/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,Federal,AAFC,"The Office of Intellectual Property and Commercialization (OIPC) supports the agri-food sector's economic, social and environmental contributions to Canada by converting research efforts into outcomes with real benefits.","The Office of Intellectual Property and Commercialization (OIPC) supports the development and transfer of the results of research efforts by AAFC STB to applications with real benefits in Canada and around the world. AAFC's research results include new products, processes, plant varieties, technologies ideas designs and patents. The rights in these research results are also known as ""intellectual property"" or ""IP"" OIPC manages IP generated by AAFC's STB, including:
         
            Negotiating and preparing various agreements such as collaborative research agreements, confidentiality agreements, material transfer agreements, research support agreements and licences
            Managing knowledge capture, including invention disclosures
            Identifying collaborators
            Developing IP protection strategies
            Managing copyright, trademarks and official marks
            Managing patents on AAFC inventions
            Marketing AAFC inventions and plant varieties
            Conducting business risk assessment
            Building business relationships with industry
         ",NotApplicable,GuidesInformation,AcrossCanada,BasicAppliedResearch,ResearchResults,Nonspecific,IndustryAssociationsFarmingOrganizations,open,2012-01-27,2021-10-08,2021-10-08,"The Office of Intellectual Property and Commercialization (OIPC) supports the development and transfer of the results of research efforts by AAFC STB to applications with real benefits in Canada and around the world. AAFC's research results include new products, processes, plant varieties, technologies ideas designs and patents. The rights in these research results are also known as ""intellectual property"" or ""IP"" OIPC manages IP generated by AAFC's STB, including:
         
            Negotiating and preparing various agreements such as collaborative research agreements, confidentiality agreements, material transfer agreements, research support agreements and licences
            Managing knowledge capture, including invention disclosures
            Identifying collaborators
            Developing IP protection strategies
            Managing copyright, trademarks and official marks
            Managing patents on AAFC inventions
            Marketing AAFC inventions and plant varieties
            Conducting business risk assessment
            Building business relationships with industry
         "
program,Pesticide Risk Reduction,AAFC-075-en,https://agriculture.canada.ca/en/scientific-collaboration-and-research-agriculture/agriculture-and-agri-food-research-centres-and-collections/pest-management-centre/pesticide-risk-reduction-pest-management-centre,Federal,AAFC,"The PMC is committed to improving grower access to low-risk, environmentally and economically sustainable pest control tools and practices.",The Pesticide Risk Reduction Program (PRRP) of Agriculture and Agri-food Canada's (AAFC) Pest Management Centre (PMC) focuses on developing and implementing reduced risk solutions for pest management issues that have been identified by growers. Risk reduction involves helping growers to adopt an integrated approach to managing pests and by doing so reducing reliance on traditional pesticides.,NotApplicable,Service,AcrossCanada,LeadershipTrainingWorkforceDevelopment,TrainingWorkshops,FertilizersPesticides,AgribusinessesFoodProcessors,open,2012-01-27,2021-10-18,2021-10-08,The Pesticide Risk Reduction Program (PRRP) of Agriculture and Agri-food Canada's (AAFC) Pest Management Centre (PMC) focuses on developing and implementing reduced risk solutions for pest management issues that have been identified by growers. Risk reduction involves helping growers to adopt an integrated approach to managing pests and by doing so reducing reliance on traditional pesticides.
program,Livestock Tax Deferral Plan,AAFC-084-en,https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate/livestock-tax-deferral-provision,Federal,AAFC,"Provides income tax deferrals to farmers who have been forced to sell all or part of their breeding livestock herd due to drought or excess moisture and flood conditions, in order for those farmers to use the deferred amounts to replenish their herds in the following taxation year. ","Section 80.3 of the Income Tax Act allows producers who have been forced to sell all or part of their breeding livestock herd as a result of extreme drought, excess moisture and flood conditions in prescribed areas to defer a portion of sale proceeds to the following year. Provisions for invoking tax deferral are made each year by the Revenue Minister, upon recommendation from the Minister of Agriculture. The Minister of Agriculture decides which areas are designated (eligible). Some important considerations for producers include:
         
            Proceeds from deferred sales are included as income in the next tax year, when they may be at least partially offset by the cost of re-acquiring breeding animals. 
            Because tax deferral is based on widespread shortages of feed, prescribed areas are defined by municipal boundaries and are typically groups of municipalities. 
            In the case of consecutive years of drought or excess moisture and flood designation, producers may defer sales income to the first year in which the area is no longer designated. 
            Only drought or excessive moisture and flood-induced impacts are considered in the designation of prescribed areas for tax deferral. 
            Eligible producers will be able to request this deferral when filing their income tax returns.
         ",NotApplicable,Service,AcrossCanada,InsuranceRecoveryAid,InsuranceRecoveryAid,Livestock,NonprofitCommunityOrganizations,open,2012-01-27,2021-10-08,2021-10-08,"Section 80.3 of the Income Tax Act allows producers who have been forced to sell all or part of their breeding livestock herd as a result of extreme drought, excess moisture and flood conditions in prescribed areas to defer a portion of sale proceeds to the following year. Provisions for invoking tax deferral are made each year by the Revenue Minister, upon recommendation from the Minister of Agriculture. The Minister of Agriculture decides which areas are designated (eligible). Some important considerations for producers include:
         
            Proceeds from deferred sales are included as income in the next tax year, when they may be at least partially offset by the cost of re-acquiring breeding animals. 
            Because tax deferral is based on widespread shortages of feed, prescribed areas are defined by municipal boundaries and are typically groups of municipalities. 
            In the case of consecutive years of drought or excess moisture and flood designation, producers may defer sales income to the first year in which the area is no longer designated. 
            Only drought or excessive moisture and flood-induced impacts are considered in the designation of prescribed areas for tax deferral. 
            Eligible producers will be able to request this deferral when filing their income tax returns.
         "
